Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/31/17,"2,249","18,896",8.33,57,572,137,65,66,"1,134"
11/1/17,"2,144","16,286",6.92,49,607,182,43,41,"1,025"
11/2/17,"2,018","11,982",5.07,45,603,200,23,20,873
11/3/17,"2,168","12,968",5.51,51,601,181,88,22,"1,079"
11/4/17,"2,216","8,466",3.64,40,703,164,97,17,"1,122"
11/5/17,"2,599","24,700",11.58,105,569,207,54,95,"1,516"
11/6/17,"2,209","16,736",7.14,43,614,234,38,27,"1,127"
11/7/17,"2,395","20,279",9.23,76,647,234,44,64,"1,351"
11/8/17,"2,226","20,882",8.83,37,688,188,103,20,"1,169"
11/9/17,"2,387","18,182",7.69,58,534,331,53,39,"1,415"
11/10/17,"2,506","15,741",6.66,29,508,453,38,10,"1,601"
11/11/17,"2,902","31,396",13.29,258,483,322,62,108,"2,005"
11/12/17,"2,309","18,533",7.84,40,629,229,57,50,"1,265"
11/13/17,"2,293","17,551",7.43,46,658,280,46,28,"1,254"
11/14/17,"2,048","13,248",5.61,46,634,173,45,30,913
11/15/17,"2,454","19,778",8.37,54,587,311,45,41,"1,455"
11/16/17,"2,008","12,676",5.36,35,727,185,24,30,870
11/17/17,"2,361","18,162",9.17,66,628,176,30,79,"1,271"
11/18/17,"2,683","22,508",10.69,49,459,300,71,64,"1,713"
11/19/17,"2,279","17,489",7.56,48,552,216,32,66,"1,209"
11/20/17,"2,713","27,712",13.95,89,577,173,52,129,"1,684"
11/21/17,"2,201","16,892",7.15,31,644,171,87,32,"1,115"
11/22/17,"2,045","12,125",6.76,5,487,144,1,58,876
11/23/17,"2,390","19,487",9.02,5,621,220,59,64,"1,342"
11/24/17,"2,787","17,221",7.29,18,591,272,54,108,"1,827"
11/25/17,"2,120","12,764",5.4,7,572,266,52,5,"1,053"
11/26/17,"2,198","14,618",8.2,26,744,96,3,74,"1,032"
11/27/17,"2,078","13,821",5.85,42,759,189,33,27,946
11/28/17,"2,251","17,892",8.36,62,640,156,34,67,"1,136"
11/29/17,"1,947","11,154",4.72,36,695,152,25,27,777
11/30/17,"2,068","13,160",5.57,36,624,184,51,24,936
12/1/17,"2,021","9,857",4.22,35,651,277,10,10,926
12/2/17,"1,971","9,222",3.9,23,873,226,21,18,842
12/3/17,"2,315","18,262",8.89,53,752,201,18,75,"1,208"
12/4/17,"1,953","10,495",4.44,41,714,160,35,16,759
12/5/17,"2,207","17,560",7.43,58,741,164,71,47,"1,105"
12/6/17,"2,268","18,461",10.02,66,724,171,16,76,"1,146"
12/7/17,"2,197","15,501",6.58,48,639,235,49,34,"1,125"
12/8/17,"2,956","27,437",13.1,83,587,270,71,129,"2,024"
12/9/17,"1,783","6,811",2.88,25,748,184,2,10,597
12/10/17,"1,805","6,791",2.93,22,676,170,13,12,622
12/11/17,"2,237","16,771",7.1,56,644,235,55,28,"1,172"
12/12/17,"3,113","39,457",22,123,584,105,48,207,"2,113"
12/13/17,"2,376","19,410",8.21,44,580,269,74,26,"1,354"
12/14/17,"2,442","21,098",9.63,48,599,217,62,70,"1,410"
12/15/17,"2,504","25,113",10.63,7,474,139,159,33,"1,461"
12/16/17,"2,330","20,758",9.68,47,647,145,96,59,"1,256"
12/17/17,"2,185","13,339",5.64,11,473,260,50,13,"1,132"
12/18/17,"2,118","13,563",5.74,4,550,199,33,37,"1,012"
12/19/17,"2,697","28,992",15.56,77,572,109,39,156,"1,628"
12/20/17,"2,237","16,753",7.28,9,643,235,60,35,"1,184"
12/21/17,"1,833","7,719",3.27,0,863,205,10,0,679
12/22/17,"1,928","10,660",4.51,5,666,178,56,0,796
12/23/17,"2,798","28,346",12.72,29,810,320,135,42,"1,902"
12/24/17,"2,092","11,549",4.89,25,638,329,0,0,"1,035"
12/25/17,"1,948","9,663",4.09,18,674,269,0,0,842
12/26/17,"2,491","18,762",7.94,43,431,384,23,19,"1,520"
12/27/17,"2,266","13,747",5.82,40,662,297,22,13,"1,208"
12/28/17,"2,094","11,593",4.91,12,608,307,2,3,"1,017"
12/29/17,"2,464","17,627",7.46,63,763,380,41,21,"1,500"
12/30/17,"2,397","17,800",8.43,45,525,316,25,42,"1,384"
12/31/17,"3,081","18,965",8.13,12,800,348,76,20,"1,503"
1/1/18,"2,230","17,564",8.63,67,682,122,40,80,"1,106"
1/2/18,"2,684","26,262",12.12,8,306,236,125,52,"1,718"
1/3/18,"2,493","19,975",9.58,13,451,269,50,58,"1,464"
1/4/18,"2,012","13,661",5.78,8,647,145,90,3,886
1/5/18,"2,596","23,140",11.79,6,307,240,74,73,"1,590"
1/6/18,"2,423","19,993",8.46,68,571,301,63,34,"1,434"
1/7/18,"2,954","33,209",15.64,7,410,223,153,74,"2,024"
1/8/18,"2,223","15,719",7.7,4,674,191,34,51,"1,113"
1/9/18,"2,142","13,913",5.89,5,642,196,94,12,"1,062"
1/10/18,"1,953","11,663",4.94,5,564,143,72,13,816
1/11/18,"2,548","26,353",12.34,15,438,108,142,71,"1,506"
1/12/18,"2,598","25,738",11.76,3,534,157,94,101,"1,563"
1/13/18,"2,873","31,063",13.39,89,432,198,131,108,"1,924"
1/14/18,"2,133","16,419",6.95,5,519,145,64,55,"1,033"
1/15/18,"2,551","21,486",9.09,45,404,336,80,32,"1,609"
1/16/18,"2,816","29,473",14.67,95,523,223,60,125,"1,835"
1/17/18,"2,699","25,639",12.5,82,591,289,38,80,"1,721"
1/18/18,"2,363","18,725",7.92,43,563,282,45,34,"1,338"
1/19/18,"2,552","25,285",10.7,75,525,203,85,88,"1,543"
1/20/18,"2,226","14,069",6.13,42,655,312,23,26,"1,183"
1/21/18,"2,405","20,032",10.38,75,637,179,20,95,"1,316"
1/22/18,"2,174","16,393",6.94,46,663,205,45,34,"1,081"
1/23/18,"2,161","16,434",7.91,52,711,129,40,68,"1,024"
1/24/18,"2,791","30,500",14.02,85,482,204,109,98,"1,808"
1/25/18,"2,041","12,677",5.36,38,736,238,11,10,923
1/26/18,"3,301","39,701",21.71,102,436,235,51,178,"2,355"
1/27/18,"2,138","13,373",5.66,37,641,263,31,16,"1,065"
1/28/18,"2,329","20,052",8.61,55,602,214,72,49,"1,280"
1/29/18,"2,125","14,145",5.99,40,667,200,31,37,"1,016"
1/30/18,"2,590","25,955",12.05,81,552,150,79,103,"1,537"
1/31/18,"2,022","11,827",5,40,761,184,34,28,885
2/1/18,"2,543","13,164",5.62,48,584,302,17,69,"1,531"
2/2/18,"2,318","19,852",8.4,45,560,162,102,42,"1,245"
2/3/18,"2,772","25,790",11.65,92,473,371,46,62,"1,853"
2/4/18,"2,157","14,124",6.07,121,799,176,27,55,"1,033"
2/5/18,"2,176","16,230",6.87,48,706,188,48,49,"1,079"
2/6/18,"2,558","25,510",12.3,73,644,154,82,91,"1,504"
2/7/18,"2,048","12,964",5.49,46,596,194,23,32,917
2/8/18,"2,248","15,915",6.73,42,627,250,34,33,"1,170"
2/9/18,"2,887","31,215",14.08,71,529,255,105,100,"1,952"
2/10/18,"2,198","14,357",6.18,39,638,226,23,59,"1,117"
2/11/18,"2,246","17,282",9.36,65,701,169,5,68,"1,113"
2/12/18,"2,441","20,678",10.1,72,682,173,21,102,"1,357"
2/13/18,"2,086","14,224",6.02,39,518,166,48,42,968
2/14/18,"2,086","14,267",6.04,53,693,174,45,44,973
2/15/18,"2,218","15,187",6.46,54,598,255,38,33,"1,150"
2/16/18,"2,408","20,976",9.96,70,683,230,37,65,"1,357"
2/17/18,"2,539","23,407",9.9,57,520,259,108,38,"1,564"
2/18/18,"2,168","14,704",6.62,43,696,242,15,40,"1,089"
2/19/18,"2,087","14,212",6.01,47,648,169,51,39,971
2/20/18,"2,065","13,920",5.97,43,712,146,40,58,928
2/21/18,"2,489","22,901",12.06,63,632,198,26,91,"1,415"
2/22/18,"2,717","24,998",13.17,82,592,289,25,95,"1,724"
2/23/18,"2,525","24,265",11.17,76,696,181,65,97,"1,486"
2/24/18,"2,455","18,874",10.16,29,575,293,10,73,"1,441"
2/25/18,"2,150","11,643",4.98,108,900,207,27,42,"1,023"
2/26/18,"1,982","11,526",4.88,43,551,181,18,34,838
2/27/18,"1,943","10,757",4.55,31,722,184,27,20,794
2/28/18,"2,076","12,575",5.38,41,653,205,21,36,955
3/1/18,"2,278","18,830",7.97,68,488,162,71,62,"1,191"
3/2/18,"2,227","16,167",7.89,52,640,234,25,48,"1,146"
3/3/18,"2,164","16,203",6.91,45,594,173,59,48,"1,062"
3/4/18,"2,182","13,980",5.92,53,792,200,33,48,"1,080"
3/5/18,"1,975","11,693",4.95,42,588,175,33,27,829
3/6/18,"2,340","19,074",9.4,59,630,146,25,95,"1,221"
3/7/18,"2,188","17,624",7.57,46,668,155,69,44,"1,078"
3/8/18,"2,358","18,730",9.01,62,670,231,38,52,"1,289"
3/9/18,"2,858","30,973",14.42,99,524,191,102,127,"1,887"
