Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
9/4/18,"2,753","26,367",11.41,54,529,259,132,56,"1,797"
9/5/18,"1,904","9,091",3.85,27,781,207,17,10,757
9/6/18,"1,878","10,384",4.39,25,319,142,33,16,698
9/7/18,"2,202","12,785",5.41,37,592,307,19,22,"1,163"
9/8/18,"3,004","21,766",9.29,90,398,333,59,109,"2,079"
9/9/18,"2,419","14,690",6.22,41,483,212,172,21,"1,427"
9/10/18,"2,174","13,571",5.74,38,644,301,30,9,"1,125"
9/11/18,"2,383","18,758",8.88,55,671,215,65,59,"1,335"
9/12/18,"1,938","10,706",4.56,33,706,219,14,8,803
9/13/18,"1,995","11,355",4.8,35,697,220,17,11,866
9/14/18,"2,003","12,440",5.29,71,681,140,46,39,856
9/15/18,"2,761","24,023",12.24,61,351,336,29,71,"1,800"
9/16/18,"1,970","10,844",4.59,17,650,241,36,1,869
9/17/18,"1,794","7,968",3.37,22,752,151,21,11,601
9/18/18,"2,063","13,175",5.58,43,616,172,52,32,942
9/19/18,"2,058","13,603",5.79,48,593,181,43,32,927
9/20/18,"1,838","9,096",3.87,30,709,148,19,20,652
9/21/18,"3,020","30,965",14.23,155,547,372,63,94,"2,148"
9/22/18,"2,064","14,221",6.02,43,635,176,58,33,957
9/23/18,"1,902","8,827",3.74,9,623,248,9,6,796
9/24/18,"1,854","14,648",7.27,45,552,101,43,54,896
